Date,Close
4/30/2017,77.529999
5/1/2017,77.25
5/2/2017,80.370003
5/3/2017,94.550003
5/4/2017,90.790001
5/5/2017,94.82
5/6/2017,90.459999
5/7/2017,88.389999
5/8/2017,86.269997
5/9/2017,87.830002
5/10/2017,88.199997
5/11/2017,85.150002
5/12/2017,87.959999
5/13/2017,88.720001
5/14/2017,90.32
5/15/2017,87.800003
5/16/2017,86.980003
5/17/2017,95.879997
5/18/2017,124.379997
5/19/2017,123.059998
5/20/2017,148
5/21/2017,160.389999
5/22/2017,169.5
5/23/2017,193.029999
5/24/2017,177.330002
5/25/2017,162.830002
5/26/2017,156.630005
5/27/2017,172.860001
5/28/2017,194.169998
5/29/2017,228.580002
5/30/2017,228.639999
5/31/2017,220.699997
6/1/2017,222.039993
6/2/2017,224.300003
6/3/2017,244.960007
6/4/2017,247.75
6/5/2017,264.26001
6/6/2017,255.770004
6/7/2017,259.410004
6/8/2017,279.109985
6/9/2017,335.950012
6/10/2017,339.679993
6/11/2017,394.660004
6/12/2017,388.089996
6/13/2017,343.839996
6/14/2017,344.679993
6/15/2017,353.609985
6/16/2017,368.100006
6/17/2017,351.529999
6/18/2017,358.200012
6/19/2017,350.529999
6/20/2017,325.299988
6/21/2017,320.970001
6/22/2017,326.850006
6/23/2017,304.540009
6/24/2017,279.359985
6/25/2017,253.679993
6/26/2017,286.140015
6/27/2017,315.859985
6/28/2017,292.899994
6/29/2017,280.679993
6/30/2017,261
7/1/2017,283.98999
7/2/2017,276.410004
7/3/2017,269.049988
7/4/2017,266
7/5/2017,265.880005
7/6/2017,240.940002
7/7/2017,245.669998
7/8/2017,237.720001
7/9/2017,205.759995
7/10/2017,190.550003
7/11/2017,224.149994
7/12/2017,205.410004
7/13/2017,197.139999
7/14/2017,169.100006
7/15/2017,155.419998
7/16/2017,189.970001
7/17/2017,227.089996
7/18/2017,194.410004
7/19/2017,226.330002
7/20/2017,216.330002
7/21/2017,230.470001
7/22/2017,228.320007
7/23/2017,225.479996
7/24/2017,203.589996
7/25/2017,202.880005
7/26/2017,202.929993
7/27/2017,191.210007
7/28/2017,206.139999
7/29/2017,196.779999
7/30/2017,201.330002
7/31/2017,225.899994
